Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1969,CAL,Dick Walsh,---,"","",71,91,0.438,3,dnq
1968,CAL,Fred Haney,MLB,1922-1929,1922-1929,67,95,0.414,8,dnq
1967,CAL,Fred Haney,MLB,1922-1929,1922-1929,84,77,0.522,5,dnq
1966,CAL,Fred Haney,MLB,1922-1929,1922-1929,80,82,0.494,6,dnq
1965,CAL,Fred Haney,MLB,1922-1929,1922-1929,75,87,0.463,7,dnq
1964,LAA,Fred Haney,MLB,1922-1929,1922-1929,82,80,0.506,5,dnq
1963,LAA,Fred Haney,MLB,1922-1929,1922-1929,70,91,0.435,9,dnq
1962,LAA,Fred Haney,MLB,1922-1929,1922-1929,86,76,0.531,3,dnq
1961,LAA,Fred Haney,MLB,1922-1929,1922-1929,70,91,0.435,8,dnq
2018,LAD,Farhan Zaidi,---,"","",92,71,0.564,1,Lost World Series (Red Sox)
2017,LAD,Farhan Zaidi,---,"","",104,58,0.642,1,Lost World Series (Astros)
2016,LAD,Farhan Zaidi,---,"","",91,71,0.562,1,Lost in NLCS (Cubs)
2015,LAD,Farhan Zaidi,---,"","",92,70,0.568,1,Lost in 1st Round (Mets)
2014,LAD,Ned Colletti,---,"","",94,68,0.58,1,Lost in 1st Round (Cardinals)
2013,LAD,Ned Colletti,---,"","",92,70,0.568,1,Lost in NLCS (Cardinals)
2012,LAD,Ned Colletti,---,"","",86,76,0.531,2,dnq
2011,LAD,Ned Colletti,---,"","",82,79,0.509,3,dnq
2010,LAD,Ned Colletti,---,"","",80,82,0.494,4,dnq
2009,LAD,Ned Colletti,---,"","",95,67,0.586,1,Lost in NLCS (Philadelphia)
2008,LAD,Ned Colletti,---,"","",84,78,0.519,1,Lost in NLCS (Philadelphia)
2007,LAD,Ned Colletti,---,"","",82,80,0.506,4,dnq
2006,LAD,Ned Colletti,---,"","",88,74,0.543,2,Lost NLDS (Mets)
2005,LAD,Paul DePodesta,---,"","",71,91,0.438,4,dnq
2004,LAD,Paul DePodesta,---,"","",93,69,0.574,1,Lost in 1st Round (Cardinals)
2003,LAD,Dan Evans,---,"","",85,77,0.525,2,dnq
2002,LAD,Dan Evans,---,"","",92,70,0.568,3,dnq
2001,LAD,Kevin Malone,A-,"",1979-1980,86,76,0.531,3,dnq
2000,LAD,Kevin Malone,A-,"",1979-1980,86,76,0.531,2,dnq
1999,LAD,Kevin Malone,A-,"",1979-1980,77,85,0.475,3,dnq
1998,LAD,Fred Claire,---,"","",83,79,0.512,3,dnq
1997,LAD,Fred Claire,---,"","",88,74,0.543,2,dnq
1996,LAD,Fred Claire,---,"","",90,72,0.556,2,Lost in 1st Round (Braves)
1995,LAD,Fred Claire,---,"","",78,66,0.542,1,Lost in 1st Round (Reds)
1994,LAD,Fred Claire,---,"","",58,56,0.509,1,dnq
1993,LAD,Fred Claire,---,"","",81,81,0.5,4,dnq
1992,LAD,Fred Claire,---,"","",63,99,0.389,6,dnq
1991,LAD,Fred Claire,---,"","",93,69,0.574,2,dnq
1990,LAD,Fred Claire,---,"","",86,76,0.531,2,dnq
1989,LAD,Fred Claire,---,"","",77,83,0.481,4,dnq
1988,LAD,Fred Claire,---,"","",94,67,0.584,1,Won World Series (Athletics)
1987,LAD,Al Campanis,MLB,1943-1943,1943-1943,73,89,0.451,4,dnq
1986,LAD,Al Campanis,MLB,1943-1943,1943-1943,73,89,0.451,5,dnq
1985,LAD,Al Campanis,MLB,1943-1943,1943-1943,95,67,0.586,1,Lost NLCS (Cardinals)
1984,LAD,Al Campanis,MLB,1943-1943,1943-1943,79,83,0.488,4,dnq
1983,LAD,Al Campanis,MLB,1943-1943,1943-1943,91,71,0.562,1,Lost NLCS (Phillies)
1982,LAD,Al Campanis,MLB,1943-1943,1943-1943,88,74,0.543,2,dnq
1981,LAD,Al Campanis,MLB,1943-1943,1943-1943,63,47,0.573,0,Won World Series (Yankees)
1980,LAD,Al Campanis,MLB,1943-1943,1943-1943,92,71,0.564,2,dnq
1979,LAD,Al Campanis,MLB,1943-1943,1943-1943,79,83,0.488,3,dnq
1978,LAD,Al Campanis,MLB,1943-1943,1943-1943,95,67,0.586,1,Lost World Series (Yankees)
1977,LAD,Al Campanis,MLB,1943-1943,1943-1943,98,64,0.605,1,Lost World Series (Yankees)
1976,LAD,Al Campanis,MLB,1943-1943,1943-1943,92,70,0.568,2,dnq
1975,LAD,Al Campanis,MLB,1943-1943,1943-1943,88,74,0.543,2,dnq
1974,LAD,Al Campanis,MLB,1943-1943,1943-1943,102,60,0.63,1,Lost World Series (Athletics)
1973,LAD,Al Campanis,MLB,1943-1943,1943-1943,95,66,0.59,2,dnq
1972,LAD,Al Campanis,MLB,1943-1943,1943-1943,85,70,0.548,3,dnq
1971,LAD,Al Campanis,MLB,1943-1943,1943-1943,89,73,0.549,2,dnq
1970,LAD,Al Campanis,MLB,1943-1943,1943-1943,87,74,0.54,2,dnq
1969,LAD,Al Campanis,MLB,1943-1943,1943-1943,85,77,0.525,4,dnq
1968,LAD,Buzzie Bavasi,---,"","",76,86,0.469,8,dnq
1967,LAD,Buzzie Bavasi,---,"","",73,89,0.451,8,dnq
1966,LAD,Buzzie Bavasi,---,"","",95,67,0.586,1,Lost World Series (Orioles)
1965,LAD,Buzzie Bavasi,---,"","",97,65,0.599,1,Won World Series (Twins)
1964,LAD,Buzzie Bavasi,---,"","",80,82,0.494,7,dnq
1963,LAD,Buzzie Bavasi,---,"","",99,63,0.611,1,Won World Series (Yankees)
1962,LAD,Buzzie Bavasi,---,"","",102,63,0.618,2,dnq
1961,LAD,Buzzie Bavasi,---,"","",89,65,0.578,2,dnq
1960,LAD,Buzzie Bavasi,---,"","",82,72,0.532,4,dnq
1959,LAD,Buzzie Bavasi,---,"","",88,68,0.564,1,Won World Series (White Sox)
1958,LAD,Buzzie Bavasi,---,"","",71,83,0.461,7,dnq
1957,BRO,Buzzie Bavasi,---,"","",84,70,0.545,3,dnq
1956,BRO,Buzzie Bavasi,---,"","",93,61,0.604,1,Lost World Series (Yankees)
1955,BRO,Buzzie Bavasi,---,"","",98,55,0.641,1,Won World Series (Yankees)
1954,BRO,Buzzie Bavasi,---,"","",92,62,0.597,2,dnq
1953,BRO,Buzzie Bavasi,---,"","",105,49,0.682,1,Lost World Series (Yankees)
1952,BRO,Buzzie Bavasi,---,"","",96,57,0.627,1,Lost World Series (Yankees)
1951,BRO,Buzzie Bavasi,---,"","",97,60,0.618,2,dnq
1950,BRO,Branch Rickey,MLB,1905-1914,1905-1914,89,65,0.578,2,dnq
2021,MIA,Kim Ng,---,"","",0,0,---,2,---
2020,MIA,Michael Hill,A-,"",1992-1994,31,29,0.517,2,Lost in Division Series (Braves)
2019,MIA,Michael Hill,A-,"",1992-1994,57,105,0.352,5,dnq
2018,MIA,Michael Hill,A-,"",1992-1994,63,98,0.391,5,dnq
2017,MIA,Michael Hill,A-,"",1992-1994,77,85,0.475,2,dnq
2016,MIA,Michael Hill,A-,"",1992-1994,79,82,0.491,3,dnq
2015,MIA,Dan Jennings,---,"","",71,91,0.438,3,dnq
2015,MIA,Mike Berger,AAA,"",1980-1993,71,91,0.438,3,dnq
2014,MIA,Dan Jennings,---,"","",77,85,0.475,4,dnq
2013,MIA,Michael Hill,A-,"",1992-1994,62,100,0.383,5,dnq
2012,MIA,Michael Hill,A-,"",1992-1994,69,93,0.426,5,dnq
2011,FLA,Michael Hill,A-,"",1992-1994,72,90,0.444,5,dnq
2010,FLA,Michael Hill,A-,"",1992-1994,80,82,0.494,3,dnq
2009,FLA,Michael Hill,A-,"",1992-1994,87,75,0.537,2,dnq
2008,FLA,Michael Hill,A-,"",1992-1994,84,77,0.522,3,dnq
2007,FLA,Larry Beinfest,NCAA,"",1984-1984,71,91,0.438,5,dnq
2006,FLA,Larry Beinfest,NCAA,"",1984-1984,78,84,0.481,4,dnq
2005,FLA,Larry Beinfest,NCAA,"",1984-1984,83,79,0.512,3,dnq
2004,FLA,Larry Beinfest,NCAA,"",1984-1984,83,79,0.512,3,dnq
2003,FLA,Larry Beinfest,NCAA,"",1984-1984,91,71,0.562,2,Won World Series (Yankees)
2002,FLA,Larry Beinfest,NCAA,"",1984-1984,79,83,0.488,4,dnq
2001,FLA,Dave Dombrowski,---,"","",76,86,0.469,4,dnq
2000,FLA,Dave Dombrowski,---,"","",79,82,0.491,3,dnq
1999,FLA,Dave Dombrowski,---,"","",64,98,0.395,5,dnq
1998,FLA,Dave Dombrowski,---,"","",54,108,0.333,5,dnq
1997,FLA,Dave Dombrowski,---,"","",92,70,0.568,2,Won World Series (Indians)
1996,FLA,Dave Dombrowski,---,"","",80,82,0.494,3,dnq
1995,FLA,Dave Dombrowski,---,"","",67,76,0.469,4,dnq
1994,FLA,Dave Dombrowski,---,"","",51,64,0.443,5,dnq
1993,FLA,Dave Dombrowski,---,"","",64,98,0.395,6,dnq
2021,MIL,Matt Arnold,---,"","",0,0,---,4,---
2020,MIL,David Stearns,---,"","",29,31,0.483,4,Lost in Wild Card Series (Dodgers)
2019,MIL,David Stearns,---,"","",89,73,0.549,2,Lost NL Wild-Card Game (Nationals)
2018,MIL,David Stearns,---,"","",96,67,0.589,1,Lost in NLCS (Dodgers)
2017,MIL,David Stearns,---,"","",86,76,0.531,2,dnq
2016,MIL,David Stearns,---,"","",73,89,0.451,4,dnq
2015,MIL,Douglas Melvin,AA,"",1977-1978,68,94,0.42,4,dnq
2014,MIL,Douglas Melvin,AA,"",1977-1978,82,80,0.506,3,dnq
2013,MIL,Douglas Melvin,AA,"",1977-1978,74,88,0.457,4,dnq
2012,MIL,Douglas Melvin,AA,"",1977-1978,83,79,0.512,3,dnq
2011,MIL,Douglas Melvin,AA,"",1977-1978,96,66,0.593,1,Lost in NLCS (Cardinals)
2010,MIL,Douglas Melvin,AA,"",1977-1978,77,85,0.475,3,dnq
2009,MIL,Douglas Melvin,AA,"",1977-1978,80,82,0.494,3,dnq
2008,MIL,Douglas Melvin,AA,"",1977-1978,90,72,0.556,2,Lost in NLDS (Philadelphia)
2007,MIL,Douglas Melvin,AA,"",1977-1978,83,79,0.512,2,dnq
2006,MIL,Douglas Melvin,AA,"",1977-1978,75,87,0.463,4,dnq
2005,MIL,Douglas Melvin,AA,"",1977-1978,81,81,0.5,3,dnq
2004,MIL,Douglas Melvin,AA,"",1977-1978,67,94,0.416,6,dnq
2003,MIL,Douglas Melvin,AA,"",1977-1978,68,94,0.42,6,dnq
2002,MIL,Dean Taylor,---,"","",56,106,0.346,6,dnq
2001,MIL,Dean Taylor,---,"","",68,94,0.42,4,dnq
2000,MIL,Dean Taylor,---,"","",73,89,0.451,3,dnq
1999,MIL,Sal Bando,MLB,1966-1981,1966-1981,74,87,0.46,5,dnq
1998,MIL,Sal Bando,MLB,1966-1981,1966-1981,74,88,0.457,5,dnq
1997,MIL,Sal Bando,MLB,1966-1981,1966-1981,78,83,0.484,3,dnq
1996,MIL,Sal Bando,MLB,1966-1981,1966-1981,80,82,0.494,3,dnq
1995,MIL,Sal Bando,MLB,1966-1981,1966-1981,65,79,0.451,4,dnq
1994,MIL,Sal Bando,MLB,1966-1981,1966-1981,53,62,0.461,5,dnq
1993,MIL,Sal Bando,MLB,1966-1981,1966-1981,69,93,0.426,7,dnq
1992,MIL,Sal Bando,MLB,1966-1981,1966-1981,92,70,0.568,2,dnq
1991,MIL,Harry Dalton,---,"","",83,79,0.512,4,dnq
1990,MIL,Harry Dalton,---,"","",74,88,0.457,6,dnq
1989,MIL,Harry Dalton,---,"","",81,81,0.5,4,dnq
1988,MIL,Harry Dalton,---,"","",87,75,0.537,4,dnq
1987,MIL,Harry Dalton,---,"","",91,71,0.562,3,dnq
1986,MIL,Harry Dalton,---,"","",77,84,0.478,6,dnq
1985,MIL,Harry Dalton,---,"","",71,90,0.441,6,dnq
1984,MIL,Harry Dalton,---,"","",67,94,0.416,7,dnq
1983,MIL,Harry Dalton,---,"","",87,75,0.537,5,dnq
1982,MIL,Harry Dalton,---,"","",95,67,0.586,1,Lost World Series (Cardinals)
1981,MIL,Harry Dalton,---,"","",62,47,0.569,0,Lost ALCS (Yankees)
1980,MIL,Harry Dalton,---,"","",86,76,0.531,3,dnq
1979,MIL,Harry Dalton,---,"","",95,66,0.59,2,dnq
1978,MIL,Harry Dalton,---,"","",93,69,0.574,3,dnq
1977,MIL,Jim Baumer,MLB,1949-1961,1949-1961,67,95,0.414,6,dnq
1976,MIL,Jim Baumer,MLB,1949-1961,1949-1961,66,95,0.41,6,dnq
1975,MIL,Jim Baumer,MLB,1949-1961,1949-1961,68,94,0.42,5,dnq
1974,MIL,Jim Wilson,MLB,1945-1958,1945-1958,76,86,0.469,5,dnq
1973,MIL,Jim Wilson,MLB,1945-1958,1945-1958,74,88,0.457,5,dnq
1972,MIL,Frank Lane,---,"","",65,91,0.417,6,dnq
1971,MIL,Frank Lane,---,"","",69,92,0.429,6,dnq
1970,MIL,Marvin Milkes,---,"","",65,97,0.401,4,dnq
1969,SEA,Marvin Milkes,---,"","",64,98,0.395,6,dnq
2021,MIN,Thad Levine,---,"","",0,0,---,1,---
2020,MIN,Thad Levine,---,"","",36,24,0.6,1,Lost in Wild Card Series (Astros)
2019,MIN,Thad Levine,---,"","",101,61,0.623,1,Lost in 1st Round (Yankees)
2018,MIN,Thad Levine,---,"","",78,84,0.481,2,dnq
2017,MIN,Derek Falvey,---,"","",85,77,0.525,2,Lost AL Wild-Card Game (Yankees)
2016,MIN,Rob Antony,---,"","",59,103,0.364,5,dnq
2016,MIN,Terry Ryan,---,"","",59,103,0.364,5,dnq
2015,MIN,Terry Ryan,---,"","",83,79,0.512,2,dnq
2014,MIN,Terry Ryan,---,"","",70,92,0.432,5,dnq
2013,MIN,Terry Ryan,---,"","",66,96,0.407,4,dnq
2012,MIN,Terry Ryan,---,"","",66,96,0.407,5,dnq
2011,MIN,Bill Smith,---,"","",63,99,0.389,5,dnq
2010,MIN,Bill Smith,---,"","",94,68,0.58,1,Lost in 1st Round (Yankees)
2009,MIN,Bill Smith,---,"","",87,76,0.534,1,Lost in ALDS (NY Yankees)
2008,MIN,Bill Smith,---,"","",88,75,0.54,2,dnq
2007,MIN,Terry Ryan,---,"","",79,83,0.488,3,dnq
2006,MIN,Terry Ryan,---,"","",96,66,0.593,1,Lost ALDS (Athletics)
2005,MIN,Terry Ryan,---,"","",83,79,0.512,3,dnq
2004,MIN,Terry Ryan,---,"","",92,70,0.568,1,Lost in 1st Round (Yankees)
2003,MIN,Terry Ryan,---,"","",90,72,0.556,1,Lost in 1st Round (Yankees)
2002,MIN,Terry Ryan,---,"","",94,67,0.584,1,Lost ALCS (Angels)
2001,MIN,Terry Ryan,---,"","",85,77,0.525,2,dnq
2000,MIN,Terry Ryan,---,"","",69,93,0.426,5,dnq
1999,MIN,Terry Ryan,---,"","",63,97,0.394,5,dnq
1998,MIN,Terry Ryan,---,"","",70,92,0.432,4,dnq
1997,MIN,Terry Ryan,---,"","",68,94,0.42,4,dnq
1996,MIN,Terry Ryan,---,"","",78,84,0.481,4,dnq
1995,MIN,Terry Ryan,---,"","",56,88,0.389,5,dnq
1994,MIN,Andy MacPhail,---,"","",53,60,0.469,4,dnq
1993,MIN,Andy MacPhail,---,"","",71,91,0.438,6,dnq
1992,MIN,Andy MacPhail,---,"","",90,72,0.556,2,dnq
1991,MIN,Andy MacPhail,---,"","",95,67,0.586,1,Won World Series (Braves)
1990,MIN,Andy MacPhail,---,"","",74,88,0.457,7,dnq
1989,MIN,Andy MacPhail,---,"","",80,82,0.494,5,dnq
1988,MIN,Andy MacPhail,---,"","",91,71,0.562,2,dnq
1987,MIN,Andy MacPhail,---,"","",85,77,0.525,1,Won World Series (Cardinals)
1986,MIN,Andy MacPhail,---,"","",71,91,0.438,6,dnq
1985,MIN,Howard Fox,---,"","",77,85,0.475,4,dnq
1984,MIN,Calvin Griffith,---,"","",81,81,0.5,3,dnq
1983,MIN,Calvin Griffith,---,"","",70,92,0.432,6,dnq
1982,MIN,Calvin Griffith,---,"","",60,102,0.37,7,dnq
1981,MIN,Calvin Griffith,---,"","",41,68,0.376,0,dnq
1980,MIN,Calvin Griffith,---,"","",77,84,0.478,3,dnq
1979,MIN,Calvin Griffith,---,"","",82,80,0.506,4,dnq
1978,MIN,Calvin Griffith,---,"","",73,89,0.451,4,dnq
1977,MIN,Calvin Griffith,---,"","",84,77,0.522,4,dnq
1976,MIN,Calvin Griffith,---,"","",85,77,0.525,3,dnq
1975,MIN,Calvin Griffith,---,"","",76,83,0.478,4,dnq
1974,MIN,Calvin Griffith,---,"","",82,80,0.506,3,dnq
1973,MIN,Calvin Griffith,---,"","",81,81,0.5,3,dnq
1972,MIN,Calvin Griffith,---,"","",77,77,0.5,3,dnq
1971,MIN,Calvin Griffith,---,"","",74,86,0.463,5,dnq
1970,MIN,Calvin Griffith,---,"","",98,64,0.605,1,Lost ALCS (Orioles)
1969,MIN,Calvin Griffith,---,"","",97,65,0.599,1,Lost ALCS (Orioles)
1968,MIN,Calvin Griffith,---,"","",79,83,0.488,7,dnq
1967,MIN,Calvin Griffith,---,"","",91,71,0.562,2,dnq
1966,MIN,Calvin Griffith,---,"","",89,73,0.549,2,dnq
1965,MIN,Calvin Griffith,---,"","",102,60,0.63,1,Lost World Series (Dodgers)
1964,MIN,Calvin Griffith,---,"","",79,83,0.488,6,dnq
1963,MIN,Calvin Griffith,---,"","",91,70,0.565,3,dnq
1962,MIN,Calvin Griffith,---,"","",91,71,0.562,2,dnq
1961,MIN,Calvin Griffith,---,"","",70,90,0.438,7,dnq
1960,WAS,Calvin Griffith,---,"","",73,81,0.474,5,dnq
1959,WAS,Calvin Griffith,---,"","",63,91,0.409,8,dnq
1958,WAS,Calvin Griffith,---,"","",61,93,0.396,8,dnq
1957,WAS,Calvin Griffith,---,"","",55,99,0.357,8,dnq
1956,WAS,Calvin Griffith,---,"","",59,95,0.383,7,dnq
1955,WAS,Calvin Griffith,---,"","",53,101,0.344,8,dnq
1954,WAS,Calvin Griffith,---,"","",66,88,0.429,6,dnq
1953,WAS,Calvin Griffith,---,"","",76,76,0.5,5,dnq
1952,WAS,Calvin Griffith,---,"","",78,76,0.506,5,dnq
1951,WAS,Calvin Griffith,---,"","",62,92,0.403,7,dnq
1950,WAS,Calvin Griffith,---,"","",67,87,0.435,5,dnq
2020,NYM,Brodie Van Wagenen,---,"","",26,34,0.433,4,dnq
2019,NYM,Brodie Van Wagenen,---,"","",86,76,0.531,3,dnq
2018,NYM,Sandy Alderson,---,"","",77,85,0.475,4,dnq
2017,NYM,Sandy Alderson,---,"","",70,92,0.432,4,dnq
2016,NYM,Sandy Alderson,---,"","",87,75,0.537,2,Lost NL Wild-Card Game (Giants)
2015,NYM,Sandy Alderson,---,"","",90,72,0.556,1,Lost World Series (Royals)
2014,NYM,Sandy Alderson,---,"","",79,83,0.488,3,dnq
2013,NYM,Sandy Alderson,---,"","",74,88,0.457,3,dnq
2012,NYM,Sandy Alderson,---,"","",74,88,0.457,4,dnq
2011,NYM,Sandy Alderson,---,"","",77,85,0.475,4,dnq
2010,NYM,Omar Minaya,A,"",1978-1981,79,83,0.488,4,dnq
2009,NYM,Omar Minaya,A,"",1978-1981,70,92,0.432,4,dnq
2008,NYM,Omar Minaya,A,"",1978-1981,89,73,0.549,2,dnq
2007,NYM,Omar Minaya,A,"",1978-1981,88,74,0.543,2,dnq
2006,NYM,Omar Minaya,A,"",1978-1981,97,65,0.599,1,Lost NLCS (Cardinals)
2005,NYM,Omar Minaya,A,"",1978-1981,83,79,0.512,4,dnq
2004,NYM,Jim Duquette,---,"","",71,91,0.438,4,dnq
2003,NYM,Steve Phillips,AA,"",1981-1987,66,95,0.41,5,dnq
2002,NYM,Steve Phillips,AA,"",1981-1987,75,86,0.466,5,dnq
2001,NYM,Steve Phillips,AA,"",1981-1987,82,80,0.506,3,dnq
2000,NYM,Steve Phillips,AA,"",1981-1987,94,68,0.58,2,Lost World Series (Yankees)
1999,NYM,Steve Phillips,AA,"",1981-1987,97,66,0.595,2,Lost NLCS (Braves)
1998,NYM,Steve Phillips,AA,"",1981-1987,88,74,0.543,2,dnq
1997,NYM,Joe McIlvaine,---,"","",88,74,0.543,3,dnq
1996,NYM,Joe McIlvaine,---,"","",71,91,0.438,4,dnq
1995,NYM,Joe McIlvaine,---,"","",69,75,0.479,2,dnq
1994,NYM,Joe McIlvaine,---,"","",55,58,0.487,3,dnq
1993,NYM,Al Harazin,---,"","",59,103,0.364,7,dnq
1992,NYM,Gerry Hunsicker,---,"","",72,90,0.444,5,dnq
1991,NYM,Gerry Hunsicker,---,"","",77,84,0.478,5,dnq
1990,NYM,Frank Cashen,---,"","",91,71,0.562,2,dnq
1989,NYM,Frank Cashen,---,"","",87,75,0.537,2,dnq
1988,NYM,Frank Cashen,---,"","",100,60,0.625,1,Lost NLCS (Dodgers)
1987,NYM,Frank Cashen,---,"","",92,70,0.568,2,dnq
1986,NYM,Frank Cashen,---,"","",108,54,0.667,1,Won World Series (Red Sox)
1985,NYM,Frank Cashen,---,"","",98,64,0.605,2,dnq
1984,NYM,Frank Cashen,---,"","",90,72,0.556,2,dnq
1983,NYM,Frank Cashen,---,"","",68,94,0.42,6,dnq
1982,NYM,Frank Cashen,---,"","",65,97,0.401,6,dnq
1981,NYM,Frank Cashen,---,"","",41,62,0.398,0,dnq
1980,NYM,Frank Cashen,---,"","",67,95,0.414,5,dnq
1979,NYM,Joe McDonald,---,"","",63,99,0.389,6,dnq
1978,NYM,Joe McDonald,---,"","",66,96,0.407,6,dnq
1977,NYM,Joe McDonald,---,"","",64,98,0.395,6,dnq
1976,NYM,Joe McDonald,---,"","",86,76,0.531,3,dnq
1975,NYM,Joe McDonald,---,"","",82,80,0.506,3,dnq
1974,NYM,Bob Scheffing,MLB,1941-1951,1941-1951,71,91,0.438,5,dnq
1973,NYM,Bob Scheffing,MLB,1941-1951,1941-1951,82,79,0.509,1,Lost World Series (Athletics)
1972,NYM,Bob Scheffing,MLB,1941-1951,1941-1951,83,73,0.532,3,dnq
1971,NYM,Bob Scheffing,MLB,1941-1951,1941-1951,83,79,0.512,3,dnq
1970,NYM,Bob Scheffing,MLB,1941-1951,1941-1951,83,79,0.512,3,dnq
1969,NYM,Johnny Murphy,MLB,1932-1947,1932-1947,100,62,0.617,1,Won World Series (Orioles)
1968,NYM,Johnny Murphy,MLB,1932-1947,1932-1947,73,89,0.451,9,dnq
1967,NYM,Bing Devine,---,"","",61,101,0.377,10,dnq
1966,NYM,George Weiss,---,"","",66,95,0.41,9,dnq
1965,NYM,George Weiss,---,"","",50,112,0.309,10,dnq
1964,NYM,George Weiss,---,"","",53,109,0.327,10,dnq
1963,NYM,George Weiss,---,"","",51,111,0.315,10,dnq
1962,NYM,George Weiss,---,"","",40,120,0.25,10,dnq
2021,NYY,Brian Cashman,---,"","",0,0,---,2,---
2020,NYY,Brian Cashman,---,"","",33,27,0.55,2,Lost in Division Series (Rays)
2019,NYY,Brian Cashman,---,"","",103,59,0.636,1,Lost in ALCS (Astros)
2018,NYY,Brian Cashman,---,"","",100,62,0.617,2,Lost in 1st Round (Red Sox)
2017,NYY,Brian Cashman,---,"","",91,71,0.562,2,Lost in ALCS (Astros)
2016,NYY,Brian Cashman,---,"","",84,78,0.519,4,dnq
2015,NYY,Brian Cashman,---,"","",87,75,0.537,2,Lost AL Wild-Card Game (Astros)
2014,NYY,Brian Cashman,---,"","",84,78,0.519,2,dnq
2013,NYY,Brian Cashman,---,"","",85,77,0.525,3,dnq
2012,NYY,Brian Cashman,---,"","",95,67,0.586,1,Lost in ALCS (Tigers)
2011,NYY,Brian Cashman,---,"","",97,65,0.599,1,Lost in 1st Round (Tigers)
2010,NYY,Brian Cashman,---,"","",95,67,0.586,2,Lost in ALCS (Rangers)
2009,NYY,Brian Cashman,---,"","",103,59,0.636,1,Won World Series (Philadelphia)
2008,NYY,Brian Cashman,---,"","",89,73,0.549,3,dnq
2007,NYY,Brian Cashman,---,"","",94,68,0.58,2,Lost in ALDS (Cleveland)
2006,NYY,Brian Cashman,---,"","",97,65,0.599,1,Lost ALDS (Tigers)
2005,NYY,Brian Cashman,---,"","",95,67,0.586,1,Lost ALDS (Angels)
2004,NYY,Brian Cashman,---,"","",101,61,0.623,1,Lost ALCS (Red Sox)
2003,NYY,Brian Cashman,---,"","",101,61,0.623,1,Lost World Series (Marlins)
2002,NYY,Brian Cashman,---,"","",103,58,0.64,1,Lost in 1st Round (Angels)
2001,NYY,Brian Cashman,---,"","",95,65,0.594,1,Lost World Series (Diamondbacks)
2000,NYY,Brian Cashman,---,"","",87,74,0.54,1,Won World Series (Mets)
1999,NYY,Brian Cashman,---,"","",98,64,0.605,1,Won World Series (Braves)
1998,NYY,Brian Cashman,---,"","",114,48,0.704,1,Won World Series (Padres)
1997,NYY,Bob Watson,MLB,1966-1984,1966-1984,96,66,0.593,2,Lost in 1st Round (Indians)
1996,NYY,Bob Watson,MLB,1966-1984,1966-1984,92,70,0.568,1,Won World Series (Braves)
1995,NYY,Gene Michael,MLB,1966-1975,1966-1975,79,65,0.549,2,Lost in 1st Round (Mariners)
1994,NYY,Gene Michael,MLB,1966-1975,1966-1975,70,43,0.619,1,dnq
1993,NYY,Gene Michael,MLB,1966-1975,1966-1975,88,74,0.543,2,dnq
1992,NYY,Gene Michael,MLB,1966-1975,1966-1975,76,86,0.469,4,dnq
1991,NYY,Gene Michael,MLB,1966-1975,1966-1975,71,91,0.438,5,dnq
1990,NYY,Hardy Peterson,MLB,1955-1959,1955-1959,67,95,0.414,7,dnq
1989,NYY,Bob Quinn,---,"","",74,87,0.46,5,dnq
1988,NYY,Lou Piniella,MLB,1964-1984,1964-1984,85,76,0.528,5,dnq
1988,NYY,Bob Quinn,---,"","",85,76,0.528,5,dnq
1987,NYY,Woody Woodward,MLB,1963-1971,1963-1971,89,73,0.549,4,dnq
1986,NYY,Clyde King,MLB,1944-1953,1944-1953,90,72,0.556,2,dnq
1985,NYY,Clyde King,MLB,1944-1953,1944-1953,97,64,0.602,2,dnq
1984,NYY,Murray Cook,---,"","",87,75,0.537,3,dnq
1983,NYY,Bill Bergesch,---,"","",91,71,0.562,3,dnq
1982,NYY,Bill Bergesch,---,"","",79,83,0.488,5,dnq
1981,NYY,Gene Michael,MLB,1966-1975,1966-1975,59,48,0.551,0,Lost World Series (Dodgers)
1980,NYY,Gene Michael,MLB,1966-1975,1966-1975,103,59,0.636,1,Lost ALCS (Royals)
1979,NYY,Cedric Tallis,---,"","",89,71,0.556,4,dnq
1978,NYY,Cedric Tallis,---,"","",100,63,0.613,1,Won World Series (Dodgers)
1977,NYY,Gabe Paul,---,"","",100,62,0.617,1,Won World Series (Dodgers)
1976,NYY,Gabe Paul,---,"","",97,62,0.61,1,Lost World Series (Reds)
1975,NYY,Gabe Paul,---,"","",83,77,0.519,3,dnq
1975,NYY,Tal Smith,---,"","",83,77,0.519,3,dnq
1974,NYY,Gabe Paul,---,"","",89,73,0.549,2,dnq
1974,NYY,Tal Smith,---,"","",89,73,0.549,2,dnq
1973,NYY,Lee MacPhail,---,"","",80,82,0.494,4,dnq
1972,NYY,Lee MacPhail,---,"","",79,76,0.51,4,dnq
1971,NYY,Lee MacPhail,---,"","",82,80,0.506,4,dnq
1970,NYY,Lee MacPhail,---,"","",93,69,0.574,2,dnq
1969,NYY,Lee MacPhail,---,"","",80,81,0.497,5,dnq
1968,NYY,Lee MacPhail,---,"","",83,79,0.512,5,dnq
1967,NYY,Lee MacPhail,---,"","",72,90,0.444,9,dnq
1966,NYY,Ralph Houk,MLB,1947-1954,1947-1954,70,89,0.44,10,dnq
1965,NYY,Ralph Houk,MLB,1947-1954,1947-1954,77,85,0.475,6,dnq
